kettou,url
メジロパーマー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejiropalmer_icon.png
メジロラモーヌ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejiroramonu_icon.png
メジロライアン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejiroryan_icon.png
ミホノブルボン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mihonobourbon_icon.png
ミスターシービー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mrcb_icon.png
ナカヤマフェスタ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/nakayamafesta_icon.png
ナリタブライアン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/naritabrian_icon.png
ナリタタイシン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/naritataishin_icon.png
ナリタトップロード,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/naritatoproad_icon.png
ネオユニヴァース,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/neouniverse_icon.png
ナイスネイチャ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/nicenature_icon.png
ニシノフラワー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/nishinoflower_icon.png
ノーリーズン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/noreason_icon.png
ノースフライト,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/northflight_icon.png
オグリキャップ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/oguricap_icon.png
オルフェーヴル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/orfevre_icon.png
ラインクラフト,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/rheinkraft_icon.png
ライスシャワー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/riceshower_icon.png
ロイスアンドロイス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/royceandroyce_icon.png
サクラバクシンオー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/sakurabakushino_icon.png
サクラチトセオー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/sakurachitoseo_icon.png
サクラチヨノオー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/sakurachiyonoo_icon.png
サクラローレル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/sakuralaurel_icon.png
